Name,School Code
Duncan Lake Early Childhood Center,9504
Duncan Lake Middle School,9403
Duncan Lake Transitions Program,9723
Dundee Community High School,968
Dundee Elementary School,967
Dundee Middle School,7067
Dunes Alternative High School,824
Durand Area High School,972
Durand Middle School,973
Durant Tuuri Mott School,974
Durfee Elementary-Middle School,975
Dutton Elementary School,5067
Duvall Elementary School,977
Dwight Rich School of the Arts,799
Dye Elementary School,980
E.A. Johnson Memorial H.S.,5763
E.B. Holman Elementary School,6401
E.E. Knight Elementary School,985
E.F. Rittmueller Middle School,5252
Eagle Crest Charter Academy,8516
Eagle Lake Elementary School,995
Eagle's Nest Academy,2434
Earhart Elementary-Middle School,860
Earl F. Carr School,997
Early Childhood,9843
Early Childhood,9423
Early Childhood Building,2473
EARLY CHILDHOOD CENTER,590
Early Childhood Center,2066
Early Childhood Center,7308
Early Childhood Center,8975
Early Childhood Center,9626
Early Childhood Center,9895
Early Childhood Center,CCRESA-EC
Early Childhood Center,3205
Early Childhood Center,3335
Early Childhood Center,3951
Early Childhood Center of VBPS,2151
Early Childhood Community Based Services,9439
Early Childhood Education,9389
Early Childhood Elementary School,8897
Early Childhood Programs and Services,2658
Early Childhood Programs-WSESD,2619
Early Childhood SE-WSESD,678
Early Childhood/Headstart/GPGS,9517
Early College Alliance,52
Early College at Montcalm Community College,1813
Early Education,7321
Early Learning Center,3321
Early On,1804
Early On / Special Education,1810
Early On-WSESD,2621
Early School Program,3230
Early-On,4492
East Arbor Charter Academy,838
East China Administration,2313
East China Innovation Center,4327
East China Virtual Academy,3944
East Elementary School,1007
East Elementary School,1814
East English Village Preparatory Academy at Finney,1189
East Grand Rapids High School,1013
East Grand Rapids Middle School,1012
East Intermediate School,4402
East Jackson Elementary,302
East Jackson Secondary School,1017
East Jordan Alternative High School,3231
East Jordan Elementary School,1015
East Jordan Middle/High School,1018
East Kentwood Freshman Campus,7994
East Kentwood High School,5974
East Lansing High School,1025
East Lee Campus,7210
East Leroy Elementary School,1027
East Middle School,1022
East Middle School,1022
East Middle School,1022
East Middle School,7724
East Middle School,7724
East Middle School,7724
East Middle School,3079
East Middle School,3079
East Middle School,3079
East Oakview Elementary School,1028
East Rockford Middle School,8802
East Shore Leadership Academy,2532
Eastern Elementary School,1040
Eastern High School,1044
Eastern High School,1044
Eastern High School,9316
Eastern High School,9316
Eastern Middle School,9315
Eastland Middle School,1050
Eastover Elementary School,5076
Eastpointe Alternative Center,3247
Eastpointe Early Learning Center,3195
Eastpointe High School,1003
Eastpointe Middle School,2009
Eastpointe Virtual Academy,3083
Eastside Connections School,786
Eastside Elementary School,1036
Eastwood Elementary,4362
Eastwood School,7988
Eaton Academy,8337
Eaton County Youth Facility,2552
Eaton Rapids High School,1060
Eaton Rapids Middle School,6202
Eaton RESA - Great Start,9559
Eaton RESA - Meadowview Offsite,9236
Eaton RESA - Meadowview Onsite,7286
Eaton RESA Career Preparation Center,231
Eaton RESA Early On,2905
Eaton RESA Great Start Readiness Program,1718
Eau Claire High School,1061
Eau Claire Middle School,9916
Eberwhite School,1064
Eccles School,1066
Ecorse Community High School,1069
Ed Center,CCRESA-ED
Edgemont Elementary School,1071
Edgerton Early Childhood Center,1303
Edgerton Trails Elementary,4452
Edgewood Early Childhood Center,629
Edgewood Elementary Academy,2543
Edgewood Elementary School,1073
Edison,4159
Edison Academy,1082
Edison Elementary School,1084
Edison Elementary School,1084
Edison Elementary School,4160
Edison Elementary School,4160
Edmonson Elementary School,1089
Edmonson Montessori,3639
Edsel Ford High School,1092
Education and Activity Center,8955
Educational Service Center,8222
"Edward ""Duke"" Ellington at Beckham",3737
Edwardsburg Alternative Learning Center,3743
Edwardsburg High School,1096
Edwardsburg Intermediate School,8891
Edwardsburg Middle School,1095
Edwardsburg Primary School,1094
EI Center,CCRESA-EI
Einstein Elementary School,1097
Eisenhower Elementary School,978
Eisenhower High School,5959
Eisenhower School,1098
El Puente Spanish Immersion,3405
El Sol Elementary,9890
Elk Rapids High School,662
Ella M. White Elementary,1110
Ellen St. Campus,8842
Elliott Elementary School,1112
Elliott Street Bldg,3136
Ellis Elementary School,1115
Ellsworth Community Elementary School,5859
Ellsworth Community Middle and High School,5859
Elm River Township School,1120
Elmer A. Knopf Learning Center,6156
Elms Elementary School,1125
Elms Road Elementary School,5768
Elmwood Elementary School,5085
Elmwood Elementary School,5085
Elmwood Elementary School,1127
Elmwood Elementary School,1127
Elsa Meyer Elementary School,1128
Elva Lynch Elementary School,5643
Emerald Elementary School,5219
Emerson Elementary-Middle School,1134
Emerson Middle School,1137
Emerson School,1140
Emerson School,1140
Emerson School,1142
Emerson School,1142
Emma Murphy Elementary School,6667
Emma Smith Elementary School,1143
Emma V. Lobbestael Elem. School,6360
Emmons Lake Elementary School,8708
Empower U - Central,1473
Empower U - North,1473
Empower U - South,1473
Endeavor Charter Academy,8643
Endeavor Elementary,8353
Endeavour Elementary and Middle School,2987
Engadine Schools,490
Eppler Junior High School,1152
Erickson Elementary,1153
Erie Elementary School,7370
Eriksson Elementary School,6675
Ernest W. Seaholm High School,1154
Erving Elementary School,6682
Escanaba Junior/Senior High School,1155
Escanaba Student Success Center,2410
Escanaba Upper Elementary,1156
ESCE Program,2875
Escuela Avancemos,1369
Estabrook Elementary,1157
Ethel C. Bobcean Elem. School,1169
Eugene B. Elliott Elem. School,1111
Eugene M. Nikkari Elementary,5688
EUPISD Community Based Early Childhood Services,9493
EUPISD Learning Center,9022
EUPISD Project Search,3442
Eureka School,1161
Evart Elementary School,1164
Evart High School,1165
Evart Middle School,8496
Everett High School,1166
Evergreen Elementary,69
Ewen-Trout Creek Consolidated School,1175
Excel Charter Academy,8246
Explorer Elementary,7805
Ezra Eby Elementary School,1065
F.C. Reed Middle School,6196
Fair Plain East Elementary,1629
Fair Plain Middle School,2068
Fairview School,1194
Fancher School,1202
Farley Hill Elementary School,7720
Farmington 5-6 Campus,514
Farmington Central High School,9733
Farmington Early Childhood Center,3754
Farmington High School,1204
Farmington STEAM Academy,3162
Farrand Elementary School,1207
Farwell Elementary School,1209
Farwell High School,1210
Farwell Middle School,6258
Farwell Timberland Alternative High School,9518
Faxon Academy,1364
Fennville Alternative High School,5790
Fennville Elementary School,7494
Fennville Middle School,7311
Fennville Public High School,1217
FENTON HORIZON ACADEMY,3093
Fenton Senior High School,5690
Fern Persons Elementary School,1221
Ferndale Adult Education,7786
Ferndale Early Childhood Center,4241
Ferndale High School,1222
Ferndale Lower Elementary Campus,4155
Ferndale Middle School,9074
Ferndale Upper Elementary Campus,2979
Ferry Elementary School,1226
Ferry School,1227
Field Elementary School,6676
Fife Lake Elementary School,5097
Fisher Elementary School,1239
Fisher Magnet Academy,4349
Fitzgerald Early Childhood,2667
Fitzgerald Senior High School,1242
Fitzgerald Virtual Academy,2421
Flagship Charter Academy,9785
Flat River Academy,9302
Flat Rock Academic Virtual Academy,2336
Flat Rock Community Building (PreK),8943
Flat Rock Community High School,1246
Flat Rock Community Schools Early Childhood Center,4350
Flex High Burton,3731
Flex High North Flint,3391
Flex High School of Pontiac,9458
FlexTech High School,760
Flextech High School Shepherd,3447
Flickinger Elementary School,1250
Flint Cultural Center Academy,3576
Floyd Ebeling Elementary School,6933
Floyd M. Jewett Elem. School,2527
Floyd School,1255
Flushing Early Childhood Center,9652
Flushing High School,1256
Flushing Middle School,1257
Ford Early Learning Center,798
Fordline Elementary School,1260
Fordson High School,1261
Foreign Language Immersion and Cultural Studies,7326
Forest Area High School,6632
Forest Area Middle School,7881
Forest Elementary School,7423
Forest Elementary School,7423
Forest Elementary School,5100
Forest Elementary School,5100
Forest Grove Elementary School,1263
Forest Hills Transition Center,9712
Forest Park Elementary,847
Forest Park Elementary School,821
Forest Park Middle School,847
Forest View Elementary School,5101
Forest View School,1269
Forrest G. Averill School,1270
Forsythe Middle School,1271
Fort Gratiot Middle School,1272
Fortis Academy,9447
Fostering Leadership Academy,3853
Fountain Elementary School,1279
Four Corners Montessori Academy,117
Fourth Street Learning Center,2783
Fowler High School,1284
Fowlerville High School,1286
Fowlerville Junior High School,8712
Fowlerville Online Learning Academy,1038
Fox Elementary School,557
Fox Hills Center,5767
Francis A. Higgins Elem. School,8242
Francis Reh PSA,8653
Francois Maconce Elem. School,8623
Frank E. Bartlett School,3522
Frank E. Weiss Elem. School,6951
Frank Jeannette Jr. High School,2656
Frankenmuth High School,1297
Frankfort Elementary School,1298
Frankfort High School,1299
Franklin Elementary School,1307
Franklin Elementary School,1307
Franklin High School,1302
Fraser High School,1308
Fred W. Ritter Elementary School,1312
Frederick Douglass Academy for Young Men,7135
Frederick V. Pankow Center,6550
Freedom Acres School,722
Freeland Elementary School,4861
Freeland Learning Center,1318
Freeland Middle School/High School,1319
Freeman School,1320
Fremont Center,7222
Fremont High School,1324
Fremont International Academy,3578
Fremont Middle School,1977
Friel Early Learning Center,1329
Frontier International Academy,9609
Frontier International Academy - Elementary,3274
Frost Middle School,3229
Frostick School,1335
Fruitport Adult Education,9531
Fruitport Alternative High School,9471
Fruitport High School,1336
Fruitport Middle School,4652
Fuerstenau Early Childhood Center,883
Fuller Street Elementary School,1339
Fulton Elementary School,6595
Fulton High School,1342
Fulton Middle School,8281
Fulton Pirate Preschool and Early Learning Center,4100
G.T. Norman Elementary School,3170
Gaines Elementary School,1349
Galesburg-Augusta Alternative Education,1477
Galesburg-Augusta High School,1352
Galesburg-Augusta Middle School,6953
Galesburg-Augusta Primary School,1351
Galewood Early Elementary School,2812
Gallimore Elementary School,1356
Ganiard School,1357
Garber High School,1358
Garden City High School,1359
Garden City Middle School,4463
Gardens Elementary School,2419
Gardner Elementary School,1362
Gardner International School,3382
Garfield Community School,3266
Garfield Elementary School,1367
Garfield Elementary School,1367
Garfield Elementary School,1366
Garfield Elementary School,1366
Garvey Academy,7581
Gates Elementary School,3511
Gateway Elementary School,3009
Gateway to College-Mott Community College,1795
Gateway To Success Academy,2706
Gaylord Early Childhood Center,4428
Gaylord High School/Voc. Bldg.,1375
Gaylord Intermediate School,7965
Gaylord Middle School,1374
Gearing Elementary School,2120
GEE Compass Academy,4359
Geer Park Elementary School,9529
Geiger Early Childhood Center,840
Genesee Career Institute,2258
Genesee County Jail,2564
Genesee County Juvenile Justice Center,2565
Genesee Early College,9774
Genesee High School,1378
George Crockett Academy,8635
George D. Gilbert Elementary School,2689
George Defer Elementary School,1386
George Long Elementary School,1382
George Washington Carver Elementary School,2484
George Washington Carver Middle School,2488
Georgetown Elementary School,9644
Gerald Dawkins Academy,4306
Gerald R. Ford Academic Center,1996
Gier Elementary School,433
Gier Park School,1400
Gilkey Elementary School,1403
Gill Elementary School,1404
GIRESD Center Programs,6883
Gladiola Elementary School,1409
Gladstone Area High School,1410
Gladstone Area Middle School,1407
Gladwin Adult Education,2517
Gladwin Community Alternative H.S.,7898
Gladwin Elementary School,1412
Gladwin High School,7249
Gladwin Intermediate School,1413
Gladwin Junior High School,1411
Gladys Dillon Elementary School,1414
Glen H. Peters School,1346
Glen Lake Community School,1417
Glencairn School,1418
Glengary Elementary School,1420
Glenn Public School,1415
Glenn W. Levey Middle School,1425
Glenside,9411
Glenside Elementary,4495
Glenwood Elementary,1427
Global Heights Academy,442
Global Tech Academy,2072
Gobles Elementary School,1429
Gobles High School,1430
Gobles Virtual Academy,1588
Godfrey Elementary School,1431
Godfrey-Lee Early Childhood Ctr.,8709
Godwin Heights Early Childhood Center,4196
Godwin Heights Learning Center,8423
Godwin Heights Middle School,4004
Godwin Heights Senior High School,1434
Gogebic Co. Community Education,9008
Gogebic-Ontonagon ISD Special Education,8902
Golightly Career and Technical Center,2479
Golightly Education Center,176
Gompers Elementary-Middle School,1438
Goodrich High School,1441
Goodrich Middle School,5994
Goodwillie Environmental School,8911
Gordon Elementary School,1442
Graebner Elementary School,6263
Grand Blanc Academy,8705
Grand Blanc Community High School,1453
Grand Blanc Middle School East,9382
Grand Blanc Middle School West,9383
Grand Haven Cyber School,1317
Grand Haven High School,1455
Grand Ledge High School,1457
Grand Rapids Child Discovery Center,8793
Grand Rapids Learning Center,1055
Grand Rapids Montessori Academy,8361
Grand Rapids Montessori Middle/High,3467
Grand Rapids Public Museum High,2589
Grand Rapids Public Museum Middle,3470
Grand Rapids University Preparatory Academy,9898
Grand River Academy,2435
Grand River Preparatory High School,9911
Grand Traverse Academy,8703
GrandPort Elementary Academy,3414
Grandview Elementary School,1461
Grandville Central Elementary School,594
Grandville Century Park Learning Center,8880
Grandville Cummings Elementary School,851
Grandville East Elementary School,1006
Grandville Education Center,3748
Grandville Grand View Elementary School,7388
Grandville High School,1463
Grandville Middle School,1462
Grandville Oakestown Intermediate School,4418
Grandville South Elementary School,1466
Grandville West Elementary School,4450
Grant Elementary School,1469
Grant Elementary School,1471
Grant High School,1475
Grant Learning Center,8544
Grant Middle School,1474
Grant Primary Center,4868
Grant Township School,5135
Grass Lake High School,1478
Grass Lake Middle School,9296
Gratiot Continuous Learning Center,4369
Graveraet Elementary School,2312
Grayling Co-Op Preschool,9917
Grayling Cooperative Preschool,990040069
Grayling Elementary School,1481
Grayling High School,1482
Grayling Middle School,6355
Grayson Elementary,2415
Great Lakes Academy,8464
Great Lakes Bay Early College,1059
Great Lakes Elementary School,8612
Great Lakes Learning Academy - MS/HS,1878
Great Lakes Learning Academy Alternative HS,3571
Great Lakes Online Education,2324
Great Oaks Academy,9448
Great Oaks Elementary School,6766
Great Parents Great Start,9463
Great Parents Great Start,9549
Great Parents Great Start,9476
Great Start Program,9459
Great Start Readiness Program,9904
Great Start Readiness Program,1644
Greater Heights Academy,1751
Green Acres Elementary School,1486
Green Elementary School,5223
Greenfield Elementary School,1494
Greenfield School,737
Greenfield Union Elementary-Middle School,1493
Greenridge Elementary,5139
Greenville Middle School,1497
Greenville Senior High School,1498
Greenwood Elementary School,1499
Greenwood Elementary School,1499
Greenwood Elementary School,1501
Greenwood Elementary School,1501
Gretchko Elementary School,8259
Greyhound Central Elementary School,803
Greyhound Central Performance Academy,7672
Greyhound Intermediate School,8488
Griffin Elementary School,5154
Grissom Middle School,5701
Grogan Elementary School,454
Gros Cap School,1509
Grosse Ile High School,1511
Grosse Ile Middle School,1510
Grosse Pointe North High School,5142
Grosse Pointe South High School,1512
GTEC,9188
Gudith Elementary School,6420
Gull Lake Gateway Academy,910
Gull Lake High School,1520
Gull Lake Middle School,1519
Gull Lake Virtual Partnership,911
Gwinn Middle/High School,1527
H D Crull Elementary School,1772
H.H. Dow High School,5157
H.T. Smith Elementary School,1285
Haas Elementary School,1867
Hahn Intermediate School,8619
Haigh Elementary School,1637
Haisley Elementary School,1534
Hale Area School,1535
Hale Creek Elementary School,6680
Hamady Community High School,6235
Hamady Middle School,1543
Hamilton Academy,9994
Hamilton Early Childhood Center,780
Hamilton Elementary School,1545
Hamilton Elementary School,1545
Hamilton Elementary School,3715
Hamilton Elementary School,3715
Hamilton High School,1547
Hamilton Middle School,8890
Hamilton Virtual School,3293
Hamilton-Parsons Elementary School,6589
Hamlin Elementary School,1551
Hampton Elementary School,1553
Hampton Elementary School,1553
Hampton Elementary School,7855
Hampton Elementary School,7855
Hamtramck Academy,9307
Hamtramck High School,1554
Hancock Middle/High School,1555
Handley School,1558
Handy Middle School,4123
Hanley International Academy,9606
Hanover-Horton Elementary School,7630
Hanover-Horton High School,1561
Hanover-Horton Middle School,6708
Harbor Beach Community High School,1563
Harbor Beach Elementary School,6115
Harbor Beach Middle School,8487
Harbor High School,964
Harbor Lights Middle School,8613
Harbor Springs High School,1564
Harbor Springs Middle School,7547
Harlan Elementary School,1571
Harmon Elementary School,1573
Harms Elementary School,1574
Harper Academy,844
Harper Creek High School,1576
Harper Creek Middle School,1575
Harper Woods High School,1578
Harper Woods Middle School,9753
Harper Woods Virtual Academy,2224
Harrington Elementary School,1581
Harrison Alternative Education,7812
Harrison Center,3863
Harrison Community High School,1583
Harrison Middle School,5811
Harrison Park Academy,2056
Hart High School,1596
Hart Middle School,7548
Hart Middle School,1597
Hartford Alternative Education,2868
Hartford High School,1598
Hartford Middle School,6343
Hartland Farms Intermediate School,5789
Hartland High School,1601
Hartland Lakes Elementary School,6874
Hartland M.S. at Ore Creek,8606
Hartland Round Elementary School,1600
Hartland Village Elementary School,2127
Hartland Virtual Academy,1388
Harvest Elementary School,9038
Harvey-Swanson Elementary School,5846
Harwood Elementary School,5961
Haslett High School,6207
Haslett Middle School,1604
Hastings High School,5882
Hastings Middle School,1607
Havel Elementary School,6264
Haverhill Elementary School,1610
Haviland Elementary School,2138
Hawkins Elementary School,1529
Hayes Elementary School,1613
Haynor School,5612
Hazel Park High School,1616
Hazel Park Junior High School,9372
Heartwood School,6962
Hemlock Elementary School,1624
Hemlock High School,1625
Hemlock Middle School,5152
Hemlock Virtual,9668
Hemmeter Elementary School,1626
Henderson Academy,4
Henry Doerr Early Childhood Center,2789
Henry Ford Academy,8471
Henry Ford Early College,9775
Henry Ford Early College-Advanced Manufacturing,2712
Henry Ford Elementary School,1635
Henry Ford High School,1634
Henry Ford II High School,6265
Henry Niedermeier Elementary School,3583
Herbison Woods Elementary School,8806
Herig School,1645
Heritage Elementary School,8608
Heritage Elementary School,4429
Heritage High School,5158
Heritage Junior High School,6769
Heritage School,8505
Heritage School,8505
Heritage School,9141
Heritage School,9141
Herrick Park Intermediate School,4011
Herrington School,1652
Hesperia High School,1655
Hevel Elementary,9034
Hiawatha Elementary School,7347
Hickory Woods Elementary School,7544
High Point School,6147
High School,2124
High School - North,6487
Highland Elementary School,5787
Highland Pines School,1997
Highlander Way Middle School,6118
Highlands School,4927
Highpoint Virtual Academy of MIchigan,2953
Highview Elementary School,1669
Hilbert Elementary School,4316
Hill Center,1739
Hill Elementary School,1674
Hill Elementary School,1674
Hill Elementary School,5163
Hill Elementary School,5163
Hill-McCloy High School,1671
Hillcrest Elementary School,1676
Hillcrest Elementary School,1676
Hillcrest Elementary School,1680
Hillcrest Elementary School,1680
Hiller Elementary School,1682
Hillman Community Jr/Sr High School,1684
Hillman Elementary School,8495
Hillsdale Area Career Center,8959
Hillsdale High School,1685
Hillsdale Preparatory School,8482
Hillside Elementary School,7444
Hillside Learning Center,6730
Hillside Middle School,8803
Hillside Middle School,8803
Hillside Middle School,1687
Hillside Middle School,1687
Hilton Road Elementary School,7564
Hinks Elementary,1688
Hoben Elementary School,7250
Holbrook School,1689
Holden Elementary School,6123
Holland Early College,1697
Holland Elementary School,1695
Holland Heights,9275
Holland High School,1697
Holland Language Academy at Van Raalte,2935
Holland Middle School,7577
Holland ViRtual Tech High School,9962
Holland Woods Middle School,4237
Holly Academy,8734
Holly Elementary School,1699
Holly High School,1698
Holly Middle School,6398
Holly Park Academy,111
Hollywood Elementary School,1700
Holmes Elementary,1705
Holmes Elementary School,1704
Holmes Middle School,1706
Holmes STEM Middle School Academy,3395
Holt Junior High School,9301
Holt Senior High School,1711
Holton Elementary School,1712
Holton High School,1713
Holton Middle School,8910
Holton Virtual Academy,1943
Home Education Site,9107
Homer Community High School,1748
Homer Middle School,6811
Homestead Hills Elementary School,848
Honey Creek Community School,8241
Hoover Elementary School,1750
Hoover Elementary School,1750
Hoover Elementary School,1753
Hoover Elementary School,1753
Hoover Middle School,3942
Hoover School,1752
Hope Academic Academy,3299
Hope Academy,8637
Hope Academy of West Michigan 7-12,709
Hope Academy of West Michigan K-6,709
Hope Middle School,6663
Hope of Detroit Academy - Elementary,8722
Hope of Detroit Academy - Middle/High,3043
Hopkins Elementary School,1756
Hopkins High School,1757
Hopkins Middle School,8807
Horizon Alternative School,9820
Horizon Elementary School,7796
Horizon Elementary School,7796
Horizon High School,9948
Hornung Elementary School,6872
Houghton Central High School,1766
Houghton Elementary School,946
Houghton Elementary School,946
Houghton Elementary School,6411
Houghton Elementary School,6411
Houghton Lake Community Education,8258
Houghton Lake Jr./Sr. High School,1769
Houghton Middle School,8558
Howard Elementary School,1974
Howard-Ellis Elementary School,1771
Howe Trainable Center and Montessori,6384
Howell High School,2436
Hudson Area JR/SR High School,1782
Hudson Middle School,2337
Hudson Tech Alternative,919
Hudsonville High School,1785
Hugger Elementary School,7310
Hughes Elementary School,1790
Hulsing Elementary School,6677
Hunt Elementary School,1793
Hunter Elementary School,5417
Huntington Elementary School,1796
Huron Academy (Grades 3-8),3028
Huron Academy (Grades K-2),8725
Huron AI Center FRCS Bobcean Program,3057
Huron AI Center FRCS FRHS Program,2180
Huron AI Center FRCS Simpson Program,208
Huron Area Technical Center,7132
Huron Elementary School,6359
Huron High School,5671
Huron High School,5671
Huron High School,1799
Huron High School,1799
Huron IA Center FRCS PreSchool Program,3677
Huron Learning Center,7287
Huron Valley Adult Education,7560
Hutchinson Elementary-Middle School,1803
Hyatt Elementary,9359
ICademy Global,1405
iCampus Virtual Learning School,7669
Ida Elementary School,1806
Ida High School,1807
Ida Middle School,1808
IM-K Community Education,8831
Imlay City High School,1811
Imlay City Middle School,7728
Independence Elementary School,8714
Indian Hill Elementary School,1833
Indian Hills Elementary School,1834
Indian Lake Elementary School,1836
Indian Prairie Elementary School,1837
Indian Woods Elementary School,6775
Ingham Academy/Family Center,9949
Ingham Administrative Unit,8847
Ingham County Youth Center,579
Ingham ISD ASD Programs,1719
Ingham ISD EI Programs,4519
Ingham Virtual High School,356
Inkster Preparatory Academy,3034
Inland Lakes Elementary School,1841
Inland Lakes Secondary School,1842
Innocademy,1251
Innocademy Allegan Campus,2322
Innovation Academy,3347
Innovation Central High,2008
Insight School of Michigan,2314
International Academy,8403
International Academy of Flint (K-12),8732
International Academy of Macomb,9886
International Academy of Saginaw,9784
Inverness Academy,7932
Invest Roosevelt Alternative High School,1611
Ionia County Career Center,1034
Ionia High School,1848
Ionia Middle School,5827
Iosco RESA Adult Education,2630
Iosco RESA Special Education,8870
Iris Becker Elementary School,7818
Iron Mountain High School,3441
Iroquois Middle School,2655
Isabella Day Treatment,9750
Isbister Elementary School,4905
ISD Early Childhood Services,9433
ISD-Local Programs,9735
ISD/Local Center Programs,9238
Ishpeming High School,1858
Ishpeming Middle School,481
Ishpeming-Negaunee-NICE Comm. Ed. Division,8864
Island City Academy,8322
Issac Monfort Elementary School,5570
Ithaca High School,1859
Ivywood Classical Academy,3605
J. E. Clark Preparatory Academy,9992
J.A. Lanigan Elementary School,2132
J.B. GRIFFIN,3119
J.W. Sexton High School,1865
Jack Harvey Elementary School,1866
Jack Reque Alternative High School,8521
Jackman Road Elementary School,1868
Jackson Area Career Center,6498
Jackson Center,1873
Jackson County Jail,1160
Jackson High School,1870
Jackson ISD Local Based Special Education Programs,547
Jackson Pathways,3211
Jackson Preparatory & Early College,2277
Jalen Rose Leadership Academy,758
James C. Harvey Education Center,9977
James Foote School,1879
James R Geisler Middle School,4339
James T. Jones Elementary School,9334
Jamestown Lower Elementary School,2972
Jamestown Upper Elementary School,1886
Jane Addams Elementary School,1888
Jardon Vocational School,2399
JC/LISD Academy: A Regional Middle College,394
Jeffers Elementary School,1892
Jeffers High School,1893
Jefferson,9965
Jefferson Elementary School,6684
Jefferson Elementary School,6684
Jefferson Elementary School,6684
Jefferson Elementary School,1897
Jefferson Elementary School,1897
Jefferson Elementary School,1897
Jefferson Elementary School,1900
Jefferson Elementary School,1900
Jefferson Elementary School,1900
Jefferson High School,1901
Jefferson Middle School,1902
Jefferson Middle School,1902
Jefferson Middle School,1902
Jefferson Middle School,1905
Jefferson Middle School,1905
Jefferson Middle School,1905
Jefferson Middle School,677
Jefferson Middle School,677
Jefferson Middle School,677
Jefferson School,1914
Jenison High School,6127
Jenison Innovation Academy,893
Jenison Junior High School,1920
Jenison Public Schools Early Childhood Center,9405
Jenkins Early Childhood Learning Center,2362
Jennings Elementary School,1921
Jerolene,2081
Jerry L. White Center,9592
Jesse L. Anderson Elementary School,1927
Jessie Loomis School,1929
Jessie Rouse School,1930
JIA Elementary,3596
Jo Brighton Skills Center,8
Joan C. Sergent Instructional Resource Center,8969
Johannesburg-Lewiston Elementary/Middle School,5867
Johannesburg-Lewiston High School,1935
John Allen School,1939
John Ball Park Zoo School,8555
John C. Magnus Center,2539
John D. Pierce Middle School,1941
John F. Farrell-Emmett Elementary School,2894
John F. Kennedy Elem. School,2016
John Glenn High School,1951
John Glenn High School,1951
John Glenn High School,1951
John Glenn High School,1950
John Glenn High School,1950
John Glenn High School,1950
John M. Barnes Elem. School,5233
John M. Schultz Educational Campus,7103
John Monteith Elementary School,2597
John R Rodger Elementary School,5894
John R. King Academic and Performing Arts Academy,2036
John R. Kment Elementary School,1049
John R. Lewis Elementary,3921
John S. Munn Early Childhood Center,9932
Johnson Elementary School,1965
Johnson Preschool,2330
Johnson Upper Elementary School,1967
Jonesville High School,1973
Jonesville Middle School,8885
Jonesville Pathways,4696
Joseph C. Sterling Elementary School,5782
Joseph G. Steenland Elementary School,9976
Joseph K. Lumsden Bahweting Anishnabe Academy,8063
Joseph M. Carkenord Elementary School,8879
Joy Preparatory Academy,9318
JPS Montessori Center,2668
Julian O. Strong Middle School,1979
Justus Gage Elementary School,1983
Juvenile Justice Center,9918
Juvenile Justice Institute,700008001
K.C. Ling Elementary School,3895
K.I. Sawyer Elementary School,1984
Kaiser Elementary School,1987
Kalamazoo Adult Education,7684
Kalamazoo Area Math and Science Center,7303
Kalamazoo Central High School,6117
Kalamazoo County Juvenile Home Youth Center School,3516
Kalamazoo County Sheriff's Office GED Program,3519
Kalamazoo Covenant Academy,2853
Kalamazoo Innovative Learning Program,3070
Kalamazoo RESA - Head Start,2226
Kalamazoo RESA West Campus-ECSE,2968
Kalamazoo RESA West Campus-Great Start,9368
Kalamazoo RESA West Campus-Young Adult Program,7288
Kalkaska Early Childhood Learning Center,4474
Kalkaska Elementary School,6664
Kalkaska High School,1992
Kalkaska Middle School,5803
Kate Dowdall Elementary School,949
Kearsley High School,1993
Kearsley Street,3275
Kearsley Virtual Academy,3621
Keeler School,743
Keewahdin Elementary School,1999
Keicher Elementary School,3138
Keidan Special Education Center,9594
Keith Bovenschen School,1363
Keith Elementary School,2001
Keller Elementary,9742
Kellogg Elementary School,2003
Kelloggsville Early Childhood Learning Center,2447
Kelloggsville High School,2005
Kelloggsville Middle School,2004
Kempton Elementary School,2010
Ken-O-Sha Park Elementary,2011
Kenbrook Elementary School,2012
Kendon School,2013
Kennedy Center,8689
KENNEDY EARLY CHILDHOOD CENTER,2137
Kennedy Elementary School,1947
Kennedy Learning Center,2694
Kennedy Middle School,5197
Kenneth T. Beagle Middle School,5818
Kenowa Hills Central Elementary School,8745
Kenowa Hills Early Childhood Center,305
Kenowa Hills High School,2017
Kenowa Hills Middle School,5529
Kenowa Hills Pathways High School,3199
Kensington Woods Schools,8248
Kent Career Tech Center,6157
Kent City Elementary School,6298
Kent City High School,2019
Kent City Middle School,9384
Kent City Virtual Academy,1113
Kent Education Center--Beltline,8441
Kent Education Center--Oakleigh,2806
Kent Hills Elementary,2021
Kent ISD Deaf and Hard of Hearing,3468
Kent ISD Early Childhood Services,9413
Kent ISD Early On,1728
Kent Lake Elementary School,8894
Kenwood Elementary School,2023
Keppen School,2025
Kerby Elementary School,2026
Kettle Lake Elementary School,5212
Key Elementary School,2032
Keys Grace Academy,2807
Keystone Academy,9306
Kids & Company,9567
Kinawa School,4881
Kincheloe Elementary School,5140
King-Westwood Elementary School,4491
Kingsbury Country Day School,2065
Kingsford High School,2039
Kingsford Middle School,2040
Kingsley Area Elementary School,5896
Kingsley Area High School,2041
Kingsley Area Middle School,7453
Kingsley Montgomery School,4092
Kingston Elementary School,2043
Kingston High School,2042
Kinloch Elementary School,2046
Kinney School,2048
Kinyon Elementary School,2049
KIPP Detroit Imani Academy,4096
Knapp Charter Academy,8484
Knapp Forest Elementary School,9181
KND Elementary,9989
Knudsen Elementary School,5048
Koepsell Early Childhood Center,3874
